ncbilabel,classlabel,queryclasslabel,ingredientlabel,restriction_ex,any_taxon,fooditem
Spinacia oleracea,spinach (whole or pieces),spinach (whole or pieces),spinach,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_3562,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#18spinach
Spinacia oleracea,spinach (whole or pieces),spinach (whole or pieces),spinach,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_3562,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#7spinach
Capsicum,pepper,pepper,pepper,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_4071,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0pepper
Capsicum,pepper,pepper,pepper,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_4071,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#1pepper
Solanum lycopersicum,tomato,tomato,tomato,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_4081,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#11tomato
Coriandrum sativum,coriander (whole or pieces),coriander (whole or pieces),coriander,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_4047,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#7coriander
Ocimum basilicum,basil (whole or pieces),basil (whole or pieces),basil,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_39350,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#15basil
Pastinaca sativa,parsnip,parsnip,parsnip,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_4041,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#1parsnip
Petroselinum crispum,parsley (whole or pieces),parsley (whole or pieces),parsley,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_4043,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#7parsley
Zea mays subsp. mays,maize kernel,maize kernel,corn,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_381124,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0corn
Zea mays subsp. mays,maize kernel,maize kernel,corn,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_381124,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#5corn
Glycine max,soybean,soybean,soybeans,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0soybeans
Glycine max,soybean,soybean,soybeans,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#1soybeans
Glycine max,soybean,soybean,soybeans,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#20soybeans
Cicer arietinum,chickpea,chickpea,chickpeas,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_3827,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#7chickpeas
Pisum sativum,pea,pea,peas,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_3888,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0peas
Pisum sativum,pea,pea,peas,in taxon,http://purl.obolibrary.org/obo/NCBITaxon_3888,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#18peas
Allium schoenoprasum,chive plant,chive leaf,chives,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_74900,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#15chives
Allium schoenoprasum,chive plant,chive leaf,chives,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_74900,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#18chives
Capsicum,pepper,pepper,pepper,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4071,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0pepper
Capsicum,pepper,pepper,pepper,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4071,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#1pepper
Solanum lycopersicum,tomato,tomato,tomato,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4081,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#11tomato
Solanum lycopersicum,tomato,tomato paste,tomato paste,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4081,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0tomato_paste
Solanum lycopersicum,tomato,tomato paste,tomato paste,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4081,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#13tomato_paste
Solanum lycopersicum,tomato,tomato flakes,tomato flakes,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4081,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#11tomato_flakes
Solanum tuberosum,potato,potato starch,potato starch,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4113,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#13potato_starch
Solanum tuberosum,potato,potato starch,potato starch,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4113,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#19potato_starch
Solanum tuberosum,potato,potato starch,potato starch,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4113,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#1potato_starch
